SKU|name|description|vintage|unit-size|price|stock|url|min-order|tax|offer-type|delivery-time|LWIN|imageurl
S512532|Comoz ‘Vermouth de Chambery Blanc’||NV|750ml|22.00|0|https://www.magazzinonyc.com/s/shop?query=Comoz%20%E2%80%98Vermouth%20de%20Chambery%20Blanc%E2%80%99||Inc.tax|R|Next day||
3265573|Cocchi ‘Barolo Chinato’ 500ml||NV|500ml|53.00|0|https://www.magazzinonyc.com/s/shop?query=Cocchi%20%E2%80%98Barolo%20Chinato%E2%80%99%20500ml||Inc.tax|R|Next day||
883451S|Christophe Mignon ‘ADN De Meunier Rosé’ NV||NV|750ml|73.00|0|https://www.magazzinonyc.com/s/shop?query=Christophe%20Mignon%20%E2%80%98ADN%20De%20Meunier%20Ros%C3%A9%E2%80%99%20NV||Inc.tax|R|Next day||
6060177|Salers Genetiane Liqueur||NV|750ml|28.00|0|https://www.magazzinonyc.com/s/shop?query=Salers%20Genetiane%20Liqueur||Inc.tax|R|Next day||
7036436|Jean-Claude Lapalu ‘Côte de Brouilly’ 2023||2023|750ml|40.00|0|https://www.magazzinonyc.com/s/shop?query=Jean-Claude%20Lapalu%20%E2%80%98C%C3%B4te%20de%20Brouilly%E2%80%99%202023||Inc.tax|R|Next day||
M593855|Jean-Claude Lapalu ‘Brouilly Cuvée des Fous’ 2023 Magnum||2023|1.5L Magnum|85.00|0|https://www.magazzinonyc.com/s/shop?query=Jean-Claude%20Lapalu%20%E2%80%98Brouilly%20Cuv%C3%A9e%20des%20Fous%E2%80%99%202023%20Magnum||Inc.tax|R|Next day||
7962652|Domaine Lagille ‘L'Inattendue’ NV||NV|750ml|63.00|1|https://www.magazzinonyc.com/s/shop?query=Domaine%20Lagille%20%E2%80%98L'Inattendue%E2%80%99%20NV||Inc.tax|R|Next day||
T061628|Stefano Occhetti 'Roero DOCG Sanche' 2022||2022|750ml|51.00|0|https://www.magazzinonyc.com/s/shop?query=Stefano%20Occhetti%20'Roero%20DOCG%20Sanche'%202022||Inc.tax|R|Next day||
9786379|Plume 'Savagnin' 2022||2022|750ml|46.00|0|https://www.magazzinonyc.com/s/shop?query=Plume%20'Savagnin'%202022||Inc.tax|R|Next day||
610846X|Plume 'Chardonnay' 2022||2022|750ml|46.00|0|https://www.magazzinonyc.com/s/shop?query=Plume%20'Chardonnay'%202022||Inc.tax|R|Next day||
Q630154|Plume 'Pinot Noir' 2022||2022|750ml|46.00|0|https://www.magazzinonyc.com/s/shop?query=Plume%20'Pinot%20Noir'%202022||Inc.tax|R|Next day||
4023120|Maison Glandien ‘L'Ouverture Blanc’ 2022||2022|750ml|150.00|0|https://www.magazzinonyc.com/s/shop?query=Maison%20Glandien%20%E2%80%98L'Ouverture%20Blanc%E2%80%99%202022||Inc.tax|R|Next day||
D487452|Claudio Plessi ‘Tarbianein’ 2020||2020|750ml|43.00|2|https://www.magazzinonyc.com/s/shop?query=Claudio%20Plessi%20%E2%80%98Tarbianein%E2%80%99%202020||Inc.tax|R|Next day||
E074394|Claudio Plessi ‘Sgavàta’ 2021||2021|750ml|29.00|0|https://www.magazzinonyc.com/s/shop?query=Claudio%20Plessi%20%E2%80%98Sgav%C3%A0ta%E2%80%99%202021||Inc.tax|R|Next day||
8324158|Claudio Plessi ‘Tiepido’ 2021||2021|750ml|30.00|0|https://www.magazzinonyc.com/s/shop?query=Claudio%20Plessi%20%E2%80%98Tiepido%E2%80%99%202021||Inc.tax|R|Next day||
979741V|Marco Merli ‘CMM Bianco’ 2024 3L||2024|3L|80.00|0|https://www.magazzinonyc.com/s/shop?query=Marco%20Merli%20%E2%80%98CMM%20Bianco%E2%80%99%202024%203L||Inc.tax|R|Next day||
V574360|Marco Merli ‘CMM Rosso’ 2023 3L||2023|3L|80.00|2|https://www.magazzinonyc.com/s/shop?query=Marco%20Merli%20%E2%80%98CMM%20Rosso%E2%80%99%202023%203L||Inc.tax|R|Next day||
J065780|Marco Merli ‘000202024 Bianco’ 2024||2024|750ml|35.00|7|https://www.magazzinonyc.com/s/shop?query=Marco%20Merli%20%E2%80%98000202024%20Bianco%E2%80%99%202024||Inc.tax|R|Next day||
J689644|Marco Merli ‘000192023 Rosso’ 2022||2022|750ml|28.00|2|https://www.magazzinonyc.com/s/shop?query=Marco%20Merli%20%E2%80%98000192023%20Rosso%E2%80%99%202022||Inc.tax|R|Next day||
J750274|Marco Merli ‘Tristo’ 2022||2022|750ml|30.00|0|https://www.magazzinonyc.com/s/shop?query=Marco%20Merli%20%E2%80%98Tristo%E2%80%99%202022||Inc.tax|R|Next day||
